number,difficulty,codeLength,timestamp,elapsed
2580566,218175791,200,1717253451,11.0
2580567,217962729,200,1717253465,14.0
2580568,218175583,200,1717253470,5.0
2580569,218175583,200,1717253479,9.0
2580570,217962521,200,1717253497,18.0
2580571,217111105,200,1717253534,37.0
2580572,217323127,200,1717253536,2.0
2580573,217535356,200,1717253539,3.0
2580574,217747792,200,1717253540,1.0
2580575,217322504,200,1717253564,24.0
2580576,217534733,200,1717253565,1.0
2580577,217534733,200,1717253577,12.0
2580578,217534733,200,1717253589,12.0
2580579,217322297,200,1717253604,15.0
2580580,217110069,200,1717253619,15.0
2580581,216686027,200,1717253643,24.0
2580582,216897634,200,1717253644,1.0
2580583,217109448,200,1717253646,2.0
2580584,217109448,200,1717253654,8.0
2580585,216897428,200,1717253671,17.0
2580586,215838363,196,1717253715,44.0
2580587,216049142,196,1717253717,2.0
2580588,216260127,196,1717253719,2.0
2580589,216471318,200,1717253721,2.0
2580590,216471318,200,1717253734,13.0
2580591,216048524,196,1717253755,21.0
2580592,216259508,196,1717253757,2.0
2580593,216470698,200,1717253758,1.0
2580594,216682095,200,1717253759,1.0
2580595,216893698,200,1717253763,4.0
2580596,216681888,200,1717253779,16.0
2580597,216047079,196,1717253812,33.0
2580598,216047079,196,1717253825,13.0
2580599,216258062,196,1717253828,3.0
2580600,216046873,196,1717253846,18.0
2580601,215413924,196,1717253880,34.0
2580602,215624289,196,1717253881,1.0
2580603,215834859,196,1717253882,1.0
2580604,216045635,196,1717253883,1.0
2580605,216256617,196,1717253887,4.0
2580606,216256617,196,1717253897,10.0
2580607,215834241,196,1717253920,23.0
2580608,216045016,196,1717253923,3.0
2580609,215834035,196,1717253941,18.0
2580610,216044810,196,1717253942,1.0
2580611,216255791,196,1717253945,3.0
2580612,216255791,196,1717253958,13.0
2580613,216255791,196,1717253968,10.0
2580614,216044604,196,1717253982,14.0
2580615,216255585,196,1717253985,3.0
2580616,216466772,200,1717253987,2.0
2580617,216255379,196,1717254004,17.0
2580618,216466565,200,1717254005,1.0
2580619,216677958,200,1717254007,2.0
2580620,216677958,200,1717254015,8.0
2580621,216677958,200,1717254023,8.0
2580622,216889557,200,1717254029,6.0
2580623,216677751,200,1717254045,16.0
2580624,216889350,200,1717254050,5.0
2580625,217101156,200,1717254052,2.0
2580626,216677132,200,1717254073,21.0
2580627,216888730,200,1717254078,5.0
2580628,216676925,200,1717254092,14.0
2580629,216253729,196,1717254113,21.0
2580630,216464914,200,1717254115,2.0
2580631,216676305,200,1717254116,1.0
2580632,216887902,200,1717254122,6.0
2580633,217099706,200,1717254124,2.0
2580634,217311717,200,1717254127,3.0
2580635,217523935,200,1717254131,4.0
2580636,217311510,200,1717254145,14.0
2580637,217099292,200,1717254159,14.0
2580638,217099292,200,1717254166,7.0
2580639,217099292,200,1717254177,11.0
2580640,217099292,200,1717254189,12.0
2580641,217311303,200,1717254190,1.0
2580642,217523521,200,1717254191,1.0
2580643,217523521,200,1717254204,13.0
2580644,217523521,200,1717254214,10.0
2580645,217523521,200,1717254221,7.0
2580646,217311096,200,1717254239,18.0
2580647,217523313,200,1717254240,1.0
2580648,217735738,200,1717254243,3.0
2580649,217523106,200,1717254262,19.0
2580650,217735530,200,1717254263,1.0
2580651,217522898,200,1717254278,15.0
2580652,217735322,200,1717254279,1.0
2580653,217735322,200,1717254286,7.0
2580654,217522690,200,1717254300,14.0
2580655,217310266,200,1717254314,14.0
2580656,217310266,200,1717254326,12.0
2580657,217310266,200,1717254338,12.0
2580658,216885832,200,1717254364,26.0
2580659,217097634,200,1717254370,6.0
2580660,217309643,200,1717254376,6.0
2580661,217521859,200,1717254378,2.0
2580662,217097013,200,1717254403,25.0
2580663,217097013,200,1717254414,11.0
2580664,217097013,200,1717254425,11.0
2580665,217309021,200,1717254430,5.0
2580666,217309021,200,1717254437,7.0
2580667,217521236,200,1717254440,3.0
2580668,217521236,200,1717254452,12.0
2580669,217308813,200,1717254470,18.0
2580670,217521028,200,1717254471,1.0
2580671,217308606,200,1717254489,18.0
2580672,217308606,200,1717254497,8.0
2580673,217520821,200,1717254501,4.0
2580674,217308399,200,1717254518,17.0
2580675,217096184,200,1717254533,15.0
2580676,217308191,200,1717254534,1.0
2580677,217520406,200,1717254537,3.0
2580678,217307984,200,1717254551,14.0
2580679,217095770,200,1717254570,19.0
2580680,215823728,196,1717254619,49.0
2580681,216034493,196,1717254624,5.0
2580682,216245464,196,1717254627,3.0
2580683,216456641,200,1717254628,1.0
2580684,216456641,200,1717254638,10.0
2580685,216456641,200,1717254649,11.0
2580686,216456641,200,1717254657,8.0
2580687,216668024,200,1717254663,6.0
2580688,216456435,200,1717254678,15.0
2580689,216667818,200,1717254683,5.0
2580690,216879407,200,1717254687,4.0
2580691,216667611,200,1717254701,14.0
2580692,215821255,196,1717254737,36.0
2580693,215821255,196,1717254745,8.0
2580694,215821255,196,1717254756,11.0
2580695,215821255,196,1717254767,11.0
2580696,216032017,196,1717254769,2.0
2580697,216032017,196,1717254778,9.0
2580698,216242985,196,1717254784,6.0
2580699,216454159,200,1717254789,5.0
2580700,216242778,196,1717254804,15.0
2580701,216031604,196,1717254822,18.0
2580702,216242572,196,1717254823,1.0
2580703,216453746,200,1717254828,5.0
2580704,216242366,196,1717254846,18.0
2580705,216453540,200,1717254852,6.0
2580706,216664920,200,1717254854,2.0
2580707,216664920,200,1717254862,8.0
2580708,215818576,196,1717254902,40.0
2580709,216029336,196,1717254904,2.0
2580710,215818370,196,1717254919,15.0
2580711,216029130,196,1717254922,3.0
2580712,216240095,196,1717254926,4.0
2580713,216451266,200,1717254928,2.0
2580714,216451266,200,1717254935,7.0
2580715,216451266,200,1717254945,10.0
2580716,216662644,200,1717254946,1.0
2580717,216874228,200,1717254947,1.0
2580718,217086019,200,1717254948,1.0
2580719,216662023,200,1717254971,23.0
2580720,216450439,200,1717254985,14.0
2580721,214548046,196,1717255056,71.0
2580722,214757565,196,1717255058,2.0
2580723,214967289,196,1717255059,1.0
2580724,214967289,196,1717255066,7.0
2580725,215177217,196,1717255067,1.0
2580726,215177217,196,1717255075,8.0
2580727,215387351,196,1717255077,2.0
2580728,214966673,196,1717255100,23.0
2580729,215176601,196,1717255101,1.0
